age,males,females
0,1,1
1,0.994973,0.99584
2,0.994642,0.995545
3,0.994457,0.995372
4,0.994315,0.995217
5,0.994205,0.995092
6,0.994081,0.994994
7,0.993985,0.994907
8,0.993903,0.994828
9,0.993789,0.994738
10,0.993689,0.994641
11,0.99359,0.994565
12,0.99349,0.994478
13,0.993384,0.994388
14,0.993261,0.994286
15,0.993118,0.994162
16,0.992904,0.99401
17,0.992628,0.993846
18,0.992201,0.993643
19,0.991678,0.993409
20,0.991159,0.993174
21,0.990572,0.992947
22,0.989976,0.992723
23,0.989411,0.992513
24,0.988796,0.992264
25,0.988196,0.992023
26,0.987598,0.991749
27,0.986915,0.991446
28,0.986241,0.99113
29,0.985495,0.990774
30,0.984722,0.990416
31,0.983867,0.990015
32,0.983021,0.989605
33,0.982122,0.98913
34,0.981165,0.988627
35,0.980093,0.98807
36,0.978925,0.987481
37,0.977784,0.986875
38,0.976546,0.986161
39,0.975123,0.985388
40,0.973687,0.984596
41,0.972109,0.983665
42,0.970441,0.982656
43,0.968734,0.981606
44,0.966883,0.980432
45,0.964832,0.979138
46,0.962597,0.977737
47,0.960254,0.976215
48,0.957747,0.974601
49,0.955057,0.972807
50,0.952099,0.970851
51,0.948865,0.968598
52,0.945301,0.966243
53,0.941435,0.963584
54,0.937243,0.960742
55,0.932703,0.95747
56,0.92757,0.954073
57,0.921948,0.950384
58,0.915943,0.946401
59,0.909455,0.942088
60,0.902377,0.937312
61,0.894704,0.932202
62,0.886611,0.926633
63,0.877863,0.920783
64,0.868093,0.914304
65,0.857399,0.907167
66,0.845981,0.899526
67,0.833422,0.891166
68,0.819916,0.882179
69,0.804915,0.872185
70,0.788817,0.861276
71,0.771864,0.84916
72,0.753439,0.836268
73,0.733459,0.822252
74,0.711948,0.806611
75,0.689231,0.78942
76,0.664558,0.770957
77,0.63797,0.750408
78,0.609782,0.728093
79,0.579789,0.70355
80,0.547915,0.67667
81,0.514022,0.647229
82,0.478465,0.615595
83,0.441984,0.581905
84,0.404935,0.545929
85,0.366406,0.507988
86,0.327596,0.46819
87,0.289209,0.427076
88,0.252204,0.385063
89,0.217012,0.342148
90,0.18562,0.301521
91,0.156741,0.260737
92,0.130881,0.222613
93,0.106485,0.185044
94,0.084489,0.150432
95,0.065303,0.119337
96,0.049154,0.092459
97,0.03605,0.069898
98,0.025815,0.051564
99,0.018048,0.036865
100,0.012404,0.025716
101,0,0
