age,males,females
0,1,1
1,0.994958,0.995822
2,0.994622,0.995525
3,0.994433,0.995347
4,0.994288,0.995194
5,0.994175,0.995071
6,0.99405,0.994976
7,0.993957,0.994889
8,0.993871,0.99481
9,0.993758,0.994716
10,0.993665,0.994617
11,0.993566,0.994542
12,0.993468,0.994457
13,0.993361,0.99437
14,0.993238,0.994267
15,0.993096,0.994143
16,0.992881,0.993991
17,0.992604,0.993826
18,0.992182,0.99362
19,0.991673,0.993386
20,0.991163,0.993148
21,0.990588,0.992922
22,0.990002,0.992705
23,0.989443,0.99249
24,0.988838,0.992241
25,0.988244,0.991996
26,0.987649,0.991725
27,0.986967,0.991423
28,0.986303,0.991118
29,0.98558,0.990772
30,0.984819,0.990413
31,0.983972,0.990012
32,0.983152,0.989607
33,0.982259,0.989132
34,0.981323,0.988635
35,0.980272,0.988088
36,0.979111,0.987503
37,0.977974,0.986904
38,0.97675,0.986191
39,0.975334,0.985426
40,0.973893,0.984629
41,0.972329,0.983697
42,0.970693,0.982692
43,0.968995,0.981642
44,0.967162,0.980469
45,0.965117,0.979192
46,0.962905,0.9778
47,0.960573,0.976286
48,0.958079,0.97469
49,0.955381,0.972916
50,0.952452,0.970961
51,0.949266,0.968732
52,0.945721,0.966403
53,0.941862,0.963776
54,0.937708,0.960942
55,0.933182,0.957688
56,0.928072,0.954292
57,0.922434,0.950601
58,0.916425,0.946633
59,0.909982,0.942338
60,0.902931,0.937592
61,0.895274,0.932531
62,0.887164,0.927002
63,0.878432,0.92121
64,0.868699,0.914802
65,0.858037,0.907703
66,0.846732,0.900114
67,0.834219,0.891806
68,0.82078,0.882873
69,0.805824,0.872981
70,0.789767,0.862065
71,0.772894,0.85002
72,0.754595,0.837163
73,0.734707,0.823235
74,0.713186,0.807718
75,0.690588,0.790589
76,0.666026,0.77219
77,0.63944,0.751662
78,0.611378,0.729409
79,0.581465,0.704902
80,0.549661,0.678105
81,0.51581,0.648744
82,0.480225,0.617084
83,0.4438,0.583459
84,0.406655,0.547559
85,0.368028,0.509587
86,0.329188,0.469819
87,0.290685,0.428632
88,0.253633,0.386541
89,0.218291,0.343472
90,0.186739,0.302722
91,0.157788,0.261961
92,0.13181,0.223818
93,0.10724,0.186164
94,0.085114,0.15137
95,0.065759,0.12013
96,0.049462,0.093087
97,0.036239,0.070285
98,0.025921,0.051852
99,0.018071,0.037078
100,0.012447,0.025895
101,0,0
