age,males,females
0,1,1
1,0.99557,0.996499
2,0.995263,0.996292
3,0.995061,0.996034
4,0.994912,0.995876
5,0.994831,0.99584
6,0.994748,0.995765
7,0.994578,0.995714
8,0.994443,0.995612
9,0.994309,0.995561
10,0.994214,0.995487
11,0.994157,0.995366
12,0.99409,0.995283
13,0.994013,0.995145
14,0.993894,0.99503
15,0.993776,0.994906
16,0.993619,0.994698
17,0.993162,0.994453
18,0.992394,0.994069
19,0.99159,0.9937
20,0.990783,0.993312
21,0.989938,0.992953
22,0.989201,0.992585
23,0.988372,0.992198
24,0.987474,0.991875
25,0.986497,0.991516
26,0.985451,0.99118
27,0.98434,0.990836
28,0.983101,0.990337
29,0.981851,0.989917
30,0.980451,0.989408
31,0.979048,0.988741
32,0.97753,0.988137
33,0.976006,0.987383
34,0.974334,0.986688
35,0.972468,0.985842
36,0.970523,0.984886
37,0.9685,0.983875
38,0.966652,0.982999
39,0.964823,0.982072
40,0.962576,0.980964
41,0.960336,0.97973
42,0.957953,0.97832
43,0.955393,0.976958
44,0.952775,0.975543
45,0.949858,0.973745
46,0.946841,0.972016
47,0.943612,0.970062
48,0.940022,0.96803
49,0.936201,0.965768
50,0.932778,0.963336
51,0.928434,0.960457
52,0.923837,0.957503
53,0.918776,0.954116
54,0.913105,0.950666
55,0.907099,0.946516
56,0.90031,0.942557
57,0.893273,0.937929
58,0.88535,0.933023
59,0.877386,0.927585
60,0.869316,0.921681
61,0.8597,0.914931
62,0.84972,0.907881
63,0.838912,0.900293
64,0.826657,0.89216
65,0.813501,0.882891
66,0.799101,0.873097
67,0.783634,0.86255
68,0.76749,0.850694
69,0.749743,0.837982
70,0.730107,0.824204
71,0.709996,0.809502
72,0.688693,0.79337
73,0.66638,0.775172
74,0.642448,0.756656
75,0.616673,0.737014
76,0.589836,0.714783
77,0.561512,0.69132
78,0.531828,0.666586
79,0.500455,0.638524
80,0.468447,0.607853
81,0.433887,0.576374
82,0.399163,0.542893
83,0.363728,0.5076
84,0.328881,0.470637
85,0.294037,0.433126
86,0.260281,0.394856
87,0.226645,0.355707
88,0.195638,0.316078
89,0.166725,0.279026
90,0.140458,0.242132
91,0.118458,0.207809
92,0.096556,0.17443
93,0.077449,0.142912
94,0.059157,0.11421
95,0.045123,0.089436
96,0.033461,0.068841
97,0.024578,0.050742
98,0.016634,0.037172
99,0.011119,0.025477
100,0.007581,0.017474
101,0,0
