age,males,females
0,1,1
1,0.995007,0.995857
2,0.994673,0.995566
3,0.994485,0.995387
4,0.994342,0.995233
5,0.994236,0.995114
6,0.994117,0.995018
7,0.994006,0.994935
8,0.993919,0.994851
9,0.993805,0.994763
10,0.993703,0.994664
11,0.993606,0.994586
12,0.993507,0.994498
13,0.993401,0.994405
14,0.993281,0.994304
15,0.993139,0.994178
16,0.992921,0.994022
17,0.992625,0.993844
18,0.992156,0.99362
19,0.991598,0.993372
20,0.99103,0.993114
21,0.990405,0.992869
22,0.989782,0.992628
23,0.989181,0.992401
24,0.98853,0.992146
25,0.987893,0.991895
26,0.987242,0.991617
27,0.986516,0.991313
28,0.985787,0.990973
29,0.98499,0.990611
30,0.98416,0.990243
31,0.983252,0.989821
32,0.982352,0.989396
33,0.981399,0.988898
34,0.980391,0.988382
35,0.979253,0.987801
36,0.978019,0.987181
37,0.976796,0.986538
38,0.97551,0.985807
39,0.974061,0.985012
40,0.972553,0.984189
41,0.97092,0.983231
42,0.969185,0.98218
43,0.967396,0.981098
44,0.965474,0.979904
45,0.963338,0.978562
46,0.961015,0.977131
47,0.958569,0.975568
48,0.955962,0.973901
49,0.953154,0.97206
50,0.950137,0.970045
51,0.946789,0.967724
52,0.943125,0.965303
53,0.939132,0.962569
54,0.934788,0.959642
55,0.930106,0.956283
56,0.924803,0.952836
57,0.919039,0.949054
58,0.912855,0.944959
59,0.90621,0.940536
60,0.899021,0.93565
61,0.891181,0.930386
62,0.882906,0.924673
63,0.873954,0.918655
64,0.863961,0.912014
65,0.853042,0.904689
66,0.841351,0.896823
67,0.828468,0.888213
68,0.814693,0.87896
69,0.799409,0.8687
70,0.782969,0.857527
71,0.76566,0.845127
72,0.746948,0.831873
73,0.726715,0.817418
74,0.704962,0.801459
75,0.68192,0.784046
76,0.656968,0.765176
77,0.630215,0.744293
78,0.601841,0.721715
79,0.5717,0.696832
80,0.539821,0.669604
81,0.5058,0.640032
82,0.470341,0.608222
83,0.433949,0.574379
84,0.397089,0.538272
85,0.35895,0.500358
86,0.320615,0.460714
87,0.282745,0.419745
88,0.246273,0.377941
89,0.21166,0.335549
90,0.180797,0.295266
91,0.152569,0.255085
92,0.127072,0.217392
93,0.103214,0.180389
94,0.081609,0.146321
95,0.062988,0.115893
96,0.047324,0.089704
97,0.034734,0.06766
98,0.024773,0.049841
99,0.017268,0.035486
100,0.011847,0.024721
101,0,0
