age,males,females
0,1,1
1,0.995252,0.996174
2,0.995011,0.995919
3,0.994917,0.99584
4,0.99482,0.995657
5,0.994761,0.995492
6,0.994662,0.995345
7,0.99452,0.995258
8,0.994499,0.995172
9,0.99438,0.995151
10,0.994149,0.99509
11,0.994055,0.994991
12,0.993927,0.994876
13,0.993838,0.994726
14,0.993715,0.994651
15,0.993541,0.994522
16,0.993353,0.994378
17,0.993089,0.994221
18,0.992573,0.994068
19,0.991819,0.99385
20,0.991166,0.993661
21,0.990392,0.993413
22,0.989636,0.993082
23,0.988966,0.992953
24,0.988167,0.992705
25,0.987471,0.992535
26,0.986809,0.992198
27,0.9861,0.991882
28,0.985219,0.99133
29,0.984014,0.990778
30,0.982985,0.990448
31,0.981979,0.990041
32,0.980571,0.989528
33,0.979524,0.989055
34,0.978143,0.988448
35,0.976623,0.987687
36,0.975327,0.987004
37,0.974082,0.986257
38,0.97258,0.98552
39,0.971025,0.984601
40,0.969668,0.983911
41,0.967831,0.982995
42,0.96553,0.981915
43,0.963665,0.980875
44,0.961482,0.979676
45,0.959319,0.978069
46,0.956675,0.976519
47,0.954133,0.974855
48,0.951388,0.972922
49,0.948854,0.970793
50,0.945384,0.968818
51,0.941306,0.966152
52,0.937412,0.963367
53,0.933448,0.960188
54,0.928601,0.957202
55,0.923856,0.953648
56,0.918345,0.95022
57,0.912987,0.94656
58,0.907052,0.942358
59,0.899892,0.937765
60,0.892396,0.932522
61,0.884502,0.926669
62,0.876685,0.920481
63,0.867708,0.91373
64,0.857374,0.90616
65,0.846227,0.898446
66,0.833162,0.890023
67,0.819966,0.880885
68,0.805528,0.871126
69,0.789921,0.859644
70,0.773263,0.84885
71,0.755147,0.835662
72,0.734854,0.822232
73,0.713519,0.806899
74,0.692203,0.789367
75,0.667759,0.77124
76,0.641463,0.75182
77,0.614903,0.730972
78,0.584836,0.707723
79,0.553684,0.682635
80,0.520805,0.654478
81,0.486324,0.62382
82,0.451248,0.5926
83,0.41405,0.558
84,0.378532,0.521014
85,0.341597,0.48362
86,0.303395,0.443472
87,0.266839,0.403527
88,0.230654,0.362737
89,0.197735,0.322147
90,0.168764,0.283389
91,0.141013,0.242314
92,0.116968,0.204517
93,0.095176,0.168304
94,0.075151,0.136424
95,0.058477,0.107518
96,0.044512,0.083098
97,0.033193,0.064095
98,0.024208,0.047245
99,0.017715,0.033684
100,0.011739,0.023059
101,0,0
